# live display measurement log
# script=live-measurements-child.py
# timestamp=2026-04-30T17:36:25.791576+02:00
# record_interval_seconds=30.0
# spotread_timeout=15.0
sample_index,timestamp,elapsed_seconds,X,Y,Z,x,y,backlight_temp_c,als_absolute_nits,als_brightness_pct,delta_nits,delta_pct
60,2026-04-30T18:06:39.541150+02:00,1789.266,1145.407101,1136.666855,1467.047787,0.305513,0.303182,53.20,1226.217200,100,-89.550345,-7.302976
61,2026-04-30T18:07:09.548557+02:00,1819.273,1144.660755,1136.161970,1466.703644,0.305444,0.303177,53.20,1226.217200,100,-90.055230,-7.344150
62,2026-04-30T18:07:39.553727+02:00,1849.278,1144.451424,1135.725602,1466.696627,0.305442,0.303113,53.40,1226.217200,100,-90.491598,-7.379736
63,2026-04-30T18:08:09.559858+02:00,1879.284,1143.813053,1135.145605,1466.347579,0.305399,0.303085,53.50,1226.217200,100,-91.071595,-7.427036
64,2026-04-30T18:08:39.566117+02:00,1909.291,1143.458979,1134.782879,1466.171886,0.305377,0.303060,53.60,1226.217200,100,-91.434321,-7.456617
65,2026-04-30T18:09:09.572096+02:00,1939.297,1143.141673,1134.421623,1466.169774,0.305348,0.303019,53.60,1226.217200,100,-91.795577,-7.486078
66,2026-04-30T18:09:39.578893+02:00,1969.303,1142.717823,1133.913441,1465.991741,0.305325,0.302973,53.70,1226.217200,100,-92.303759,-7.527521
67,2026-04-30T18:10:09.589207+02:00,1999.314,1142.507061,1133.699113,1466.165549,0.305290,0.302936,53.70,1226.217200,100,-92.518087,-7.545000
68,2026-04-30T18:10:39.593226+02:00,2029.318,1141.868690,1133.119116,1465.816502,0.305247,0.302908,53.80,1226.217200,100,-93.098084,-7.592300
69,2026-04-30T18:11:09.612272+02:00,2059.337,1141.692369,1132.826732,1465.638243,0.305252,0.302882,53.80,1226.217200,100,-93.390468,-7.616144
70,2026-04-30T18:11:44.612145+02:00,2094.337,1141.268518,1132.318549,1465.460210,0.305230,0.302836,54.00,1226.217200,100,-93.898651,-7.657587
71,2026-04-30T18:12:14.615274+02:00,2124.340,1140.773460,1131.886951,1465.460664,0.305173,0.302796,54.00,1226.217200,100,-94.330249,-7.692785
72,2026-04-30T18:12:44.621229+02:00,2154.346,1140.419386,1131.524224,1465.284970,0.305151,0.302771,54.10,1226.217200,100,-94.692976,-7.722366
73,2026-04-30T18:13:14.628405+02:00,2184.353,1140.206296,1131.230370,1464.933130,0.305164,0.302762,54.20,1226.217200,100,-94.986830,-7.746330
74,2026-04-30T18:13:49.135108+02:00,2218.860,1139.641461,1130.653315,1464.931245,0.305106,0.302700,54.30,1226.217200,100,-95.563885,-7.793390
75,2026-04-30T18:14:19.141098+02:00,2248.866,1139.749437,1130.578202,1464.926340,0.305133,0.302678,54.40,1226.217200,100,-95.638998,-7.799515
76,2026-04-30T18:14:49.149300+02:00,2278.874,1139.324155,1130.292060,1464.929133,0.305077,0.302659,54.40,1226.217200,100,-95.925140,-7.822851
77,2026-04-30T18:15:19.161475+02:00,2308.886,1138.900305,1129.783877,1464.751100,0.305054,0.302612,54.40,1226.217200,100,-96.433323,-7.864294
78,2026-04-30T18:15:49.166878+02:00,2338.891,1138.616007,1129.566607,1464.577746,0.305033,0.302609,54.50,1226.217200,100,-96.650593,-7.882013
79,2026-04-30T18:16:19.174387+02:00,2368.899,1138.084181,1129.133537,1464.404618,0.304984,0.302585,54.50,1226.217200,100,-97.083663,-7.917330
80,2026-04-30T18:16:49.181379+02:00,2398.906,1137.944628,1128.842625,1464.399940,0.304982,0.302542,54.60,1226.217200,100,-97.374575,-7.941054
81,2026-04-30T18:17:19.196018+02:00,2428.920,1137.590554,1128.479898,1464.224247,0.304960,0.302518,54.60,1226.217200,100,-97.737302,-7.970635
82,2026-04-30T18:17:49.212394+02:00,2458.937,1137.414232,1128.187515,1464.045988,0.304966,0.302492,54.60,1226.217200,100,-98.029685,-7.994480
83,2026-04-30T18:18:24.212222+02:00,2493.937,1137.166703,1127.971716,1464.046215,0.304937,0.302471,54.80,1226.217200,100,-98.245484,-8.012078
84,2026-04-30T18:18:54.214673+02:00,2523.939,1137.027149,1127.680803,1464.041537,0.304935,0.302429,54.70,1226.217200,100,-98.536397,-8.035803
85,2026-04-30T18:19:24.222656+02:00,2553.947,1136.671645,1127.540117,1464.046668,0.304880,0.302431,54.80,1226.217200,100,-98.677083,-8.047276
86,2026-04-30T18:19:54.226925+02:00,2583.951,1136.495323,1127.247734,1463.868409,0.304886,0.302405,54.90,1226.217200,100,-98.969466,-8.071120
87,2026-04-30T18:20:24.250336+02:00,2613.975,1136.070041,1126.961591,1463.871202,0.304830,0.302386,54.80,1226.217200,100,-99.255609,-8.094456
88,2026-04-30T18:20:54.250423+02:00,2643.975,1136.392537,1126.958293,1464.037313,0.304876,0.302345,54.80,1226.217200,100,-99.258907,-8.094725
89,2026-04-30T18:21:24.253562+02:00,2673.978,1136.179448,1126.664438,1463.685472,0.304889,0.302336,54.80,1226.217200,100,-99.552762,-8.118689
